sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
139,CPF-QA-EXEC-212,DELTA03,LOCAL,WP02,,Local Remote parity,Local mode와 분리 WAS mode,응답 계약·오류·권한·Trace parity,cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
140,CPF-QA-EXEC-213,DELTA03,LOCAL,WP02,,Local Batch 별도 JVM,Local Web + Local Batch process,"Web 장애와 Batch 장애 격리, 공유 DB 정합",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
141,CPF-QA-EXEC-214,DELTA03,LOCAL,WP02,,Embedded Batch debug,unit/debug profile,"운영 profile에서는 비활성, test에서만 사용",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
142,CPF-QA-EXEC-215,DELTA03,LOCAL,WP02,,TCP/gRPC opt-in,integration profile extra port,"기본 mode 포트 1개, integration에서만 추가 listener",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,External Runtime,실제 Provider/Simulator를 분리하여 정상·장애·복구 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
143,CPF-QA-EXEC-216,DELTA03,LOCAL,WP02,,미설치 Redis Fake,Redis 미설치,"설치 없이 contract 성공, 실연동 상태 미검증",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,External Runtime,실제 Provider/Simulator를 분리하여 정상·장애·복구 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
144,CPF-QA-EXEC-217,DELTA03,LOCAL,WP02,,미설치 Kafka Simulator,Kafka 미설치,"계약·retry·DLQ 검증, 실 broker 미검증",cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,미검증,External Runtime,실제 Provider/Simulator를 분리하여 정상·장애·복구 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
145,CPF-QA-EXEC-218,DELTA03,LOCAL,WP02,,저사양 메모리,제한 heap 개발 PC 조건,정의된 메모리 상한과 OOM 없는 종료,cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
146,CPF-QA-EXEC-219,DELTA03,LOCAL,WP02,,Local profile Production 차단,production env + local profile,fail-fast하며 실수로 local fake가 운영에 활성화되지 않음,cpf-local-runtime / cpf-local-batch-runtime,cpf-local-runtime/src/main/java/com/cpf/local/runtime | cpf-local-runtime/src/main/resources | cpf-local-batch-runtime/src/main/java/com/cpf/local/batch | cpf-local-batch-runtime/src/main/resources,검토 완료,Profile·Safety Guard 변경 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Boot 실행·Profile 조합 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
147,CPF-QA-EXEC-295,DELTA03,META,WP09,,Metadata version CAS,same item concurrent update,"single winner, conflict response",cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
148,CPF-QA-EXEC-296,DELTA03,META,WP09,,Effective date activation,future policy,"not early, activates once",cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
149,CPF-QA-EXEC-297,DELTA03,META,WP09,,Environment override,global + DEV + PROD,precedence correct,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
150,CPF-QA-EXEC-298,DELTA03,META,WP09,,Tenant override,global + tenant,isolation and precedence,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
151,CPF-QA-EXEC-299,DELTA03,META,WP09,,Approval-required change,danger policy,fail-closed then apply,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
152,CPF-QA-EXEC-300,DELTA03,META,WP09,,Rollback,policy v1→v2,exact prior value/hash/version,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
153,CPF-QA-EXEC-301,DELTA03,META,WP09,,Multi-instance propagation,2 instances,ACK/actual/drift converge,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,미검증,Multi-instance,2개 이상 Instance를 기동하고 fault/kill/rejoin 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
154,CPF-QA-EXEC-302,DELTA03,META,WP09,,Offline instance catch-up,instance offline during changes,latest canonical state apply,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
155,CPF-QA-EXEC-303,DELTA03,META,WP09,,Secret reference,metadata contains secret,raw secret absent,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
156,CPF-QA-EXEC-304,DELTA03,META,WP09,,Generator metadata parity,new domain generated,same schema/contracts,cpf-tools/db / cpf-admin / cpf-biz-admin,cpf-tools/db/canonical/seed-model.json | cpf-biz-admin/src/main/resources/cpf/bza/bza-permission-manifest.json | cpf-tools/db/vendor,검토 완료,Canonical Seed/Manifest 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",3 Vendor 생성 SQL 재생성·Drift 검증 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
157,CPF-QA-EXEC-350,DELTA03,DOCVAL,WP12-WP15,,JavaDoc build,all public API/SPI,errors/warnings policy pass,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
158,CPF-QA-EXEC-351,DELTA03,DOCVAL,WP12-WP15,,OpenAPI snapshot,all controllers,operation/headers/errors/examples complete,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
159,CPF-QA-EXEC-352,DELTA03,DOCVAL,WP12-WP15,,OpenAPI negative examples,selected APIs,examples conform to schemas,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
160,CPF-QA-EXEC-353,DELTA03,DOCVAL,WP12-WP15,,package-info coverage,public/major packages,required Korean responsibility docs present,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
161,CPF-QA-EXEC-354,DELTA03,DOCVAL,WP12-WP15,,EDU command execution,all reference guides,all commands and expected results valid,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
162,CPF-QA-EXEC-355,DELTA03,DOCVAL,WP12-WP15,,EDU requirement trace,all examples,each feature has examples and each example maps feature,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
163,CPF-QA-EXEC-356,DELTA03,DOCVAL,WP12-WP15,,Reference CI,cpfIncludeReferenceDomains=true,required matrix pass,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
164,CPF-QA-EXEC-357,DELTA03,DOCVAL,WP12-WP15,,Generator new domain,random DomainName/SystemCode,no hard-coded domain assumptions,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
165,CPF-QA-EXEC-358,DELTA03,DOCVAL,WP12-WP15,,Generator regeneration,user extension present,user code preserved,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,Generator,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-generator-golden-path.ps1,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
166,CPF-QA-EXEC-359,DELTA03,DOCVAL,WP12-WP15,,Generator client gate,generated domain,raw client usage 0,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
167,CPF-QA-EXEC-360,DELTA03,DOCVAL,WP12-WP15,,MariaDB fresh install,empty schemas,canonical match,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
168,CPF-QA-EXEC-361,DELTA03,DOCVAL,WP12-WP15,,MariaDB upgrade,prior supported baseline,data/constraints preserved,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
169,CPF-QA-EXEC-362,DELTA03,DOCVAL,WP12-WP15,,MariaDB rollback/reapply,latest migration,documented recovery and final parity,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
170,CPF-QA-EXEC-363,DELTA03,DOCVAL,WP12-WP15,,MariaDB query registry,all runtime queries,parameter/result/dialect pass,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
171,CPF-QA-EXEC-364,DELTA03,DOCVAL,WP12-WP15,,PostgreSQL static pack,generated/vendor pack,no MariaDB syntax leakage,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
172,CPF-QA-EXEC-365,DELTA03,DOCVAL,WP12-WP15,,Oracle static pack,generated/vendor pack,no PostgreSQL/Maria syntax leakage,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
173,CPF-QA-EXEC-366,DELTA03,DOCVAL,WP12-WP15,,Secret scan,source/config/evidence,real secrets/PII 0,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
174,CPF-QA-EXEC-367,DELTA03,DOCVAL,WP12-WP15,,Repository hygiene,clean clone,build/tmp/overlay debris policy pass,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,CI/Build,.\gradlew.bat clean test assemble qualityGate --no-daemon --no-build-cache,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
175,CPF-QA-EXEC-368,DELTA03,DOCVAL,WP12-WP15,,Protected regression selection,change common header,gateway/message/TCP/generator/EDU tests selected,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,External Runtime,실제 Provider/Simulator를 분리하여 정상·장애·복구 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
176,CPF-QA-EXEC-369,DELTA03,DOCVAL,WP12-WP15,,Release gate with deferred providers,external providers uninstalled,real integration stays 미검증 and GA policy explicit,cpf-docs / cpf-tools,cpf-docs/work/current | cpf-tools/scripts/check-work-context-sha.ps1 | cpf-tools/scripts/check-evidence-contract.ps1,검토 완료,문서·Evidence 계약 포함,미검증,Multi-instance,2개 이상 Instance를 기동하고 fault/kill/rejoin 시나리오 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",적용 후 latest SHA로 치환 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
177,CPF-QA-NQA-SCN-001,NQA20260729,ARC,POST_CODEX_FULL_REVIEW,P0,정본 우선 구조 판정,최신 master 정본→Generator→MBR→ACC→EXS→Platform 순서로 구조를 대조한다.,근거 없는 패키지 이동 없이 유지/부분 개선/전환 필요/재확인 필요로 판정하고 결함은 실제 구현까지 수정한다.,cpf-core / 전체 Consumer,cpf-tools/scripts/check-semantic-consumer-graph.ps1 | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,경계 Gate 포함,미검증,Generator,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-generator-golden-path.ps1,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",전체 저장소 적용 후 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
178,CPF-QA-NQA-SCN-002,NQA20260729,ARC,POST_CODEX_FULL_REVIEW,P0,Module Ownership 양방향 추적,공식 Module·Generated Domain 기능의 Requirement/Source/DB/Runtime/UI/API/SPI/Consumer/Test Owner를 수집한다.,중복 Owner·Owner 없음·역방향·순환·Internal 외부 참조가 없어야 한다.,cpf-core / 전체 Consumer,cpf-tools/scripts/check-semantic-consumer-graph.ps1 | cpf-tools/scripts/check-direct-client-boundary.ps1,검토 완료,경계 Gate 포함,미검증,Browser,npm ci && npm run build && npm run test; Browser E2E를 exact SHA에서 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",전체 저장소 적용 후 재실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
